Date,positions
2013-07-18,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 15.42}]"
2013-07-19,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 15.18}]"
2013-07-22,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 15.23}]"
2013-07-23,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 14.96}]"
2013-07-24,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 15.73}]"
2013-07-25,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 15.66}]"
2013-07-26,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 15.75}]"
2013-07-29,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 15.99}]"
2013-07-30,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 16.19}]"
2013-07-31,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 16.16}]"
2013-08-01,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 16.31}]"
2013-08-02,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 16.52}]"
2013-08-05,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 16.77}]"
2013-08-06,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 16.62}]"
2013-08-07,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 16.61}]"
2013-08-08,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 16.46}]"
2013-08-09,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 16.23}]"
2013-08-12,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 16.69}]"
2013-08-13,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 17.48}]"
2013-08-14,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 17.8}]"
2013-08-15,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 17.78}]"
2013-08-16,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 17.94}]"
2013-08-19,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 18.13}]"
2013-08-20,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 17.900000000000002}]"
2013-08-21,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 17.94}]"
2013-08-22,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 17.96}]"
2013-08-23,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 17.89}]"
2013-08-26,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 17.96}]"
2013-08-27,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 17.45}]"
2013-08-28,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 17.53}]"
2013-08-29,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 17.56}]"
2013-08-30,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 17.400000000000002}]"
2013-09-03,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 17.45}]"
2013-09-04,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 17.81}]"
2013-09-05,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 17.69}]"
2013-09-06,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 17.79}]"
2013-09-09,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 18.080000000000002}]"
2013-09-10,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 17.67}]"
2013-09-11,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 16.7}]"
2013-09-12,"[{'sid': Equity(2 [AAPL]), 'amount': 1228, 'cost_basis': 14.930062957972778, 'last_sale_price': 16.88}]"
2013-09-13,"[{'sid': Equity(2 [AAPL]), 'amount': 1217, 'cost_basis': 14.930090073831446, 'last_sale_price': 16.6}]"
2013-09-16,"[{'sid': Equity(2 [AAPL]), 'amount': 1233, 'cost_basis': 14.94505078657978, 'last_sale_price': 16.080000000000002}]"
2013-09-17,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 16.26}]"
2013-09-18,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 16.6}]"
2013-09-19,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 16.87}]"
2013-09-20,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 16.69}]"
2013-09-23,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 17.52}]"
2013-09-24,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 17.47}]"
2013-09-25,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 17.2}]"
2013-09-26,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 17.36}]"
2013-09-27,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 17.240000000000002}]"
2013-09-30,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 17.03}]"
2013-10-01,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 17.43}]"
2013-10-02,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 17.48}]"
2013-10-03,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 17.26}]"
2013-10-04,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 17.25}]"
2013-10-07,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 17.42}]"
2013-10-08,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 17.18}]"
2013-10-09,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 17.38}]"
2013-10-10,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 17.490000000000002}]"
2013-10-11,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 17.6}]"
2013-10-14,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 17.72}]"
2013-10-15,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 17.81}]"
2013-10-16,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 17.900000000000002}]"
2013-10-17,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.02}]"
2013-10-18,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.17}]"
2013-10-21,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.62}]"
2013-10-22,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.57}]"
2013-10-23,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.75}]"
2013-10-24,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 19.0}]"
2013-10-25,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.78}]"
2013-10-28,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.92}]"
2013-10-29,"[{'sid': Equity(2 [AAPL]), 'amount': 1265, 'cost_basis': 14.978390213322426, 'last_sale_price': 18.45}]"
